,Runtime (s),Runtime (s),CPU Time (s),CPU Time (s),Throughput (elements/s),Throughput (elements/s),Peak RAM (MB),Peak RAM (MB),Comparisons,Comparisons
,mean,std,mean,std,mean,std,mean,std,mean,std
Array Size,,,,,,,,,,
8,5.4700009059160944e-06,3.028397861224567e-06,0.0,0.0,1694735.266766185,493475.3700308869,112.76171875,0.0,8.0,0.0
16,4.910002462565899e-06,3.3149082128564283e-07,0.0,0.0,3271088.0452970127,205269.98643701317,112.76171875,0.0,16.0,0.0
24,6.550003308802843e-06,4.143244548839683e-07,0.0,0.0,3675688.969466367,203379.59840800057,112.76171875,0.0,24.0,0.0
32,6.86999992467463e-06,1.6363764930155598e-07,0.0,0.0,4660261.733932648,108649.44214436144,112.76171875,0.0,32.0,0.0
