,Runtime (s),Runtime (s),CPU Time (s),CPU Time (s),Throughput,Throughput,Peak RAM (MB),Peak RAM (MB),Best Cut,Best Cut,Average Cut,Average Cut,Approximation Ratio,Approximation Ratio
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Nodes,,,,,,,,,,,,,,
4,0.011096859991084784,0.003231689430027084,0.009375,0.008068715304598784,381.57011398980933,85.89600463050552,157.0703125,0.0,4.0,0.0,3.236763236763237,0.04668422393947827,1.0,0.0
6,0.015800290007609873,0.0006911044091471372,0.015625,0.00736569563735987,380.400230953689,16.78459354705744,157.0703125,0.0,7.2,0.6324555320336759,5.096403596403596,0.12565744511198385,1.0,0.0
8,0.02182859997265041,0.0011555355858186432,0.021875,0.008068715304598784,367.4049844169037,19.18012606394695,157.0703125,0.0,10.4,0.8432740427115678,6.842857142857143,0.2134062193875415,1.0,0.0
10,0.04307597000151873,0.003248267020168228,0.0421875,0.01054607121422739,233.32087501767978,17.321021663577795,157.0703125,0.0,12.9,0.316227766016838,8.416883116883117,0.14547354993257824,1.0,0.0
