Nodes,Trial,Runtime (s),CPU Time (s),Throughput,Peak RAM (MB),Best Cut,Average Cut,Approximation Ratio
4,1,0.019520699977874756,0.015625,204.91068478762026,157.0703125,4,3.2737262737262736,1.0
4,2,0.009649400017224252,0.015625,414.53354538727484,157.0703125,4,3.2387612387612386,1.0
4,3,0.0075026999693363905,0.0,533.1414046074133,157.0703125,4,3.1708291708291707,1.0
4,4,0.010900699999183416,0.0,366.94891156527973,157.0703125,4,3.183816183816184,1.0
4,5,0.011723499977961183,0.015625,341.1950362536389,157.0703125,4,3.255744255744256,1.0
4,6,0.008435899973846972,0.015625,474.1639910858147,157.0703125,4,3.317682317682318,1.0
4,7,0.010711100068874657,0.0,373.44436839158885,157.0703125,4,3.2177822177822177,1.0
4,8,0.011163700022734702,0.015625,358.30414574505426,157.0703125,4,3.230769230769231,1.0
4,9,0.01074449997395277,0.015625,372.283494783094,157.0703125,4,3.282717282717283,1.0
4,10,0.010616399929858744,0.0,376.77555729131444,157.0703125,4,3.195804195804196,1.0
6,1,0.015685299993492663,0.015625,382.5237644475535,157.0703125,7,5.112887112887113,1.0
6,2,0.014975000056438148,0.015625,400.66777812267463,157.0703125,7,5.1098901098901095,1.0
6,3,0.016063799965195358,0.015625,373.51062718658744,157.0703125,7,5.0869130869130865,1.0
6,4,0.016602299991063774,0.03125,361.3957104274416,157.0703125,7,5.124875124875125,1.0
6,5,0.01476849999744445,0.0,406.2701019763851,157.0703125,7,5.106893106893107,1.0
6,6,0.015096900053322315,0.015625,397.4325840939514,157.0703125,7,5.045954045954046,1.0
6,7,0.01557909999974072,0.015625,385.13136189509385,157.0703125,7,5.061938061938062,1.0
6,8,0.016221400001086295,0.015625,369.88176110558885,157.0703125,7,4.963036963036963,1.0
6,9,0.01674190000630915,0.015625,358.38226233216733,157.0703125,9,5.406593406593407,1.0
6,10,0.016268700012005866,0.015625,368.8063579494465,157.0703125,7,4.945054945054945,1.0
8,1,0.02341499994508922,0.015625,341.6613290096472,157.0703125,10,6.8321678321678325,1.0
8,2,0.021501499926671386,0.03125,372.067066357378,157.0703125,10,6.745254745254745,1.0
8,3,0.022420600056648254,0.015625,356.8147141373143,157.0703125,10,6.547452547452547,1.0
8,4,0.021572700003162026,0.03125,370.8390696958377,157.0703125,10,6.792207792207792,1.0
8,5,0.02063549996819347,0.015625,387.6814233883744,157.0703125,12,7.372627372627373,1.0
8,6,0.020731199998408556,0.015625,385.8917959700415,157.0703125,10,6.864135864135864,1.0
8,7,0.02050370001234114,0.03125,390.1734806490933,157.0703125,10,6.693306693306694,1.0
8,8,0.02104889997281134,0.015625,380.06736743171956,157.0703125,12,6.922077922077922,1.0
8,9,0.02304469991941005,0.03125,347.1514069602518,157.0703125,10,6.842157842157842,1.0
8,10,0.02341219992376864,0.015625,341.70219056937935,157.0703125,10,6.817182817182817,1.0
10,1,0.04158540000207722,0.046875,240.46901074657194,157.0703125,13,8.583416583416584,1.0
10,2,0.04087549995165318,0.046875,244.6453257288063,157.0703125,13,8.168831168831169,1.0
10,3,0.0385215999558568,0.015625,259.5946173434992,157.0703125,13,8.293706293706293,1.0
10,4,0.039854199974797666,0.046875,250.9145838161005,157.0703125,13,8.598401598401598,1.0
10,5,0.041005600010976195,0.03125,243.86913000476142,157.0703125,13,8.371628371628372,1.0
10,6,0.04449760005809367,0.046875,224.7312211657379,157.0703125,12,8.378621378621379,1.0
10,7,0.04474010004196316,0.046875,223.5131345397235,157.0703125,13,8.363636363636363,1.0
10,8,0.043951099971309304,0.046875,227.52559108936677,157.0703125,13,8.452547452547453,1.0
10,9,0.047130700084380805,0.046875,212.17592741241748,157.0703125,13,8.616383616383617,1.0
10,10,0.04859789996407926,0.046875,205.770208329813,157.0703125,13,8.341658341658341,1.0
