protocol,key_size,trial,runtime_seconds,cpu_time_seconds,peak_ram_mb,key_gen_rate,attack_scenario,attack_rate,success
Diffie-Hellman,1000,9,0.026724600000306964,0.015625,0.0043792724609375,37418.70785675048,MITM_100,1.0,False
Diffie-Hellman,1000,10,0.028022599988617003,0.03125,0.004222869873046875,35685.48244653272,MITM_100,1.0,False
Diffie-Hellman,2000,1,0.08301560010295361,0.09375,0.007175445556640625,24091.857404146405,MITM_0,0.0,True
Diffie-Hellman,2000,2,0.07195679994765669,0.0625,0.00682830810546875,27794.45447066648,MITM_0,0.0,True
Diffie-Hellman,2000,3,0.07349919993430376,0.078125,0.006862640380859375,27211.18055417844,MITM_0,0.0,True
Diffie-Hellman,2000,4,0.07505520002450794,0.078125,0.00565338134765625,26647.05442590168,MITM_0,0.0,True
Diffie-Hellman,2000,5,0.08048259990755469,0.078125,0.006801605224609375,24850.09184963302,MITM_0,0.0,True
Diffie-Hellman,2000,6,0.07465450000017881,0.078125,0.00678253173828125,26790.07963344754,MITM_0,0.0,True
Diffie-Hellman,2000,7,0.0816435000160709,0.078125,0.00661468505859375,24496.74499018679,MITM_0,0.0,True
Diffie-Hellman,2000,8,0.07433840003795922,0.078125,0.006565093994140625,26903.995767715547,MITM_0,0.0,True
Diffie-Hellman,2000,9,0.07014289998915046,0.0625,0.005878448486328125,28513.220872096183,MITM_0,0.0,True
Diffie-Hellman,2000,10,0.07817809993866831,0.078125,0.006877899169921875,25582.612030338736,MITM_0,0.0,True
Diffie-Hellman,2000,1,0.07712719996925443,0.078125,0.00691986083984375,25931.18900721495,MITM_25,0.25,True
Diffie-Hellman,2000,2,0.07481040002312511,0.078125,0.006175994873046875,26734.25084455861,MITM_25,0.25,True
Diffie-Hellman,2000,3,0.07182129996363074,0.0625,0.006992340087890625,27846.89223131259,MITM_25,0.25,True
Diffie-Hellman,2000,4,0.0744581000180915,0.078125,0.005756378173828125,26860.74449272878,MITM_25,0.25,True
Diffie-Hellman,2000,5,0.07121560000814497,0.078125,0.007282257080078125,28083.734459461954,MITM_25,0.25,True
Diffie-Hellman,2000,6,0.07214900001417845,0.0625,0.00661468505859375,27720.4119198737,MITM_25,0.25,True
Diffie-Hellman,2000,7,0.07260660000611097,0.078125,0.005222320556640625,27545.705209053573,MITM_25,0.25,True
Diffie-Hellman,2000,8,0.07196480000857264,0.078125,0.0068206787109375,27791.364663860037,MITM_25,0.25,True
Diffie-Hellman,2000,9,0.07211700000334531,0.0625,0.005687713623046875,27732.71211929539,MITM_25,0.25,True
Diffie-Hellman,2000,10,0.05724660004489124,0.0625,0.00664520263671875,34936.57262495334,MITM_25,0.25,True
Diffie-Hellman,2000,1,0.07448660000227392,0.078125,0.006732940673828125,26850.46706305489,MITM_50,0.5,True
Diffie-Hellman,2000,2,0.0712729999795556,0.0625,0.00717926025390625,28061.117121121497,MITM_50,0.5,True
Diffie-Hellman,2000,3,0.0752834000159055,0.078125,0.00695037841796875,26566.281538525756,MITM_50,0.5,True
Diffie-Hellman,2000,4,0.10506380000151694,0.109375,0.007526397705078125,19036.05237932688,MITM_50,0.5,False
Diffie-Hellman,2000,5,0.049613800016231835,0.046875,0.0057830810546875,40311.36496994128,MITM_50,0.5,True
Diffie-Hellman,2000,6,0.11371099995449185,0.109375,0.011958122253417969,17588.447914453463,MITM_50,0.5,False
Diffie-Hellman,2000,7,0.07333430007565767,0.078125,0.00681304931640625,27272.36774519749,MITM_50,0.5,True
Diffie-Hellman,2000,8,0.07444890006445348,0.078125,0.0072784423828125,26864.06378426703,MITM_50,0.5,True
Diffie-Hellman,2000,9,0.07003860000986606,0.0625,0.006633758544921875,28555.682148390573,MITM_50,0.5,True
Diffie-Hellman,2000,10,0.09741299995221198,0.09375,0.008052825927734375,20531.14061758844,MITM_50,0.5,False
Diffie-Hellman,2000,1,0.09869220003020018,0.109375,0.007846832275390625,20265.02600395971,MITM_100,1.0,False
Diffie-Hellman,2000,2,0.10441250004805624,0.09375,0.007991790771484375,19154.794675728408,MITM_100,1.0,False
Diffie-Hellman,2000,3,0.10082019993569702,0.109375,0.007930755615234375,19837.29452307769,MITM_100,1.0,False
Diffie-Hellman,2000,4,0.10375310003291816,0.09375,0.00818634033203125,19276.53245411898,MITM_100,1.0,False
Diffie-Hellman,2000,5,0.10729209997225553,0.09375,0.007907867431640625,18640.70141713301,MITM_100,1.0,False
Diffie-Hellman,2000,6,0.10041009995620698,0.109375,0.008129119873046875,19918.314998912294,MITM_100,1.0,False
Diffie-Hellman,2000,7,0.10511320002842695,0.09375,0.007572174072265625,19027.106010083582,MITM_100,1.0,False
Diffie-Hellman,2000,8,0.09997920005116612,0.078125,0.00724029541015625,20004.160855222533,MITM_100,1.0,False
Diffie-Hellman,2000,9,0.10559920000378042,0.09375,0.006877899169921875,18939.537420060005,MITM_100,1.0,False
Diffie-Hellman,2000,10,0.104255500016734,0.09375,0.00791168212890625,19183.64018856541,MITM_100,1.0,False
Diffie-Hellman,4000,1,0.36496439995244145,0.375,0.012760162353515625,10959.973083734305,MITM_0,0.0,True
Diffie-Hellman,4000,2,0.4086433000629768,0.34375,0.014001846313476562,9788.487904692314,MITM_0,0.0,True
Diffie-Hellman,4000,3,0.3547041000565514,0.34375,0.01314544677734375,11277.005254132302,MITM_0,0.0,True
Diffie-Hellman,4000,4,0.37645530002191663,0.3125,0.013141632080078125,10625.431491513405,MITM_0,0.0,True
Diffie-Hellman,4000,5,0.35683390009216964,0.34375,0.014139175415039062,11209.697282031797,MITM_0,0.0,True
Diffie-Hellman,4000,6,0.34968250000383705,0.328125,0.010211944580078125,11438.948188588529,MITM_0,0.0,True
Diffie-Hellman,4000,7,0.3780129000078887,0.375,0.01207733154296875,10581.64946200652,MITM_0,0.0,True
Diffie-Hellman,4000,8,0.4002235000953078,0.40625,0.0117950439453125,9994.415617892138,MITM_0,0.0,True
Diffie-Hellman,4000,9,0.40888050000648946,0.390625,0.013336181640625,9782.80940259199,MITM_0,0.0,True
Diffie-Hellman,4000,10,0.39484790002461523,0.390625,0.0126800537109375,10130.483155034219,MITM_0,0.0,True
Diffie-Hellman,4000,1,0.35830140009056777,0.359375,0.012889862060546875,11163.785569883123,MITM_25,0.25,True
Diffie-Hellman,4000,2,0.5140729000559077,0.515625,0.014926910400390625,7780.9975969653,MITM_25,0.25,False
Diffie-Hellman,4000,3,0.39095050003379583,0.390625,0.01300048828125,10231.4743161966,MITM_25,0.25,True
Diffie-Hellman,4000,4,0.4023928000824526,0.40625,0.01239776611328125,9940.535713313899,MITM_25,0.25,True
Diffie-Hellman,4000,5,0.3777326999697834,0.375,0.013248443603515625,10589.49887134468,MITM_25,0.25,True
Diffie-Hellman,4000,6,0.45134139992296696,0.453125,0.011653900146484375,8862.470849522564,MITM_25,0.25,True
Diffie-Hellman,4000,7,0.38947150006424636,0.375,0.012325286865234375,10270.327865685085,MITM_25,0.25,True
Diffie-Hellman,4000,8,0.4288471000036225,0.421875,0.01338958740234375,9327.333681319547,MITM_25,0.25,True
Diffie-Hellman,4000,9,0.5818885000189766,0.578125,0.0137939453125,6874.169191983604,MITM_25,0.25,False
Diffie-Hellman,4000,10,0.3619611000176519,0.375,0.01192474365234375,11050.9112714182,MITM_25,0.25,True
Diffie-Hellman,4000,1,0.45856519998051226,0.453125,0.01303863525390625,8722.8599121128,MITM_50,0.5,True
Diffie-Hellman,4000,2,0.5321127000497654,0.5,0.014026641845703125,7517.2045313444,MITM_50,0.5,False
Diffie-Hellman,4000,3,0.5337537999730557,0.515625,0.01544189453125,7494.091845719736,MITM_50,0.5,False
Diffie-Hellman,4000,4,0.5876805000007153,0.578125,0.01488494873046875,6806.419474519116,MITM_50,0.5,False
Diffie-Hellman,4000,5,0.5535713999997824,0.53125,0.015201568603515625,7225.806824560611,MITM_50,0.5,False
Diffie-Hellman,4000,6,0.5147624999517575,0.515625,0.012844085693359375,7770.5738090379,MITM_50,0.5,False
Diffie-Hellman,4000,7,0.3428241000510752,0.34375,0.010898590087890625,11667.79114830044,MITM_50,0.5,True
Diffie-Hellman,4000,8,0.5384620999684557,0.546875,0.014781951904296875,7428.563682075914,MITM_50,0.5,False
Diffie-Hellman,4000,9,0.5710371999302879,0.5625,0.01454925537109375,7004.797586721705,MITM_50,0.5,False
Diffie-Hellman,4000,10,0.5625224000541493,0.53125,0.015026092529296875,7110.827941456115,MITM_50,0.5,False
Diffie-Hellman,4000,1,0.5221159999491647,0.53125,0.015254974365234375,7661.132775838044,MITM_100,1.0,False
Diffie-Hellman,4000,2,0.5579396000830457,0.546875,0.014240264892578125,7169.234804994351,MITM_100,1.0,False
Diffie-Hellman,4000,3,0.5605747998924926,0.53125,0.014980316162109375,7135.533029253407,MITM_100,1.0,False
Diffie-Hellman,4000,4,0.5418356000445783,0.5,0.014614105224609375,7382.313010940789,MITM_100,1.0,False
Diffie-Hellman,4000,5,0.5474528999766335,0.53125,0.01354217529296875,7306.564638109925,MITM_100,1.0,False
Diffie-Hellman,4000,6,0.549512300058268,0.53125,0.0120849609375,7279.181921088675,MITM_100,1.0,False
Diffie-Hellman,4000,7,0.5676899999380112,0.546875,0.012874603271484375,7046.099104153287,MITM_100,1.0,False
Diffie-Hellman,4000,8,0.570417599985376,0.5625,0.01410675048828125,7012.406349492984,MITM_100,1.0,False
Diffie-Hellman,4000,9,0.5646641999483109,0.5625,0.013446807861328125,7083.856211118322,MITM_100,1.0,False
Diffie-Hellman,4000,10,0.570677199983038,0.5625,0.014835357666015625,7009.216418877239,MITM_100,1.0,False
Diffie-Hellman,8000,1,2.1881458999123424,2.109375,0.0264892578125,3656.063336690886,MITM_0,0.0,True
Diffie-Hellman,8000,2,2.142501200083643,2.09375,0.02268218994140625,3733.9535677682143,MITM_0,0.0,True
Diffie-Hellman,8000,3,2.2065418999409303,2.140625,0.02858734130859375,3625.5826368917637,MITM_0,0.0,True
Diffie-Hellman,8000,4,2.1859926000470296,2.125,0.027309417724609375,3659.6647215676244,MITM_0,0.0,True
Diffie-Hellman,8000,5,2.1523921999614686,2.140625,0.025787353515625,3716.7947366391745,MITM_0,0.0,True
Diffie-Hellman,8000,6,2.283970099990256,2.265625,0.026576995849609375,3502.672823971789,MITM_0,0.0,True
Diffie-Hellman,8000,7,2.3188000000081956,2.296875,0.02696990966796875,3450.060376044387,MITM_0,0.0,True
Diffie-Hellman,8000,8,2.329463900066912,2.328125,0.025638580322265625,3434.266570849287,MITM_0,0.0,True
Diffie-Hellman,8000,9,2.2080420999554917,2.15625,0.026729583740234375,3623.1193237489715,MITM_0,0.0,True
Diffie-Hellman,8000,10,2.4726096999365836,2.375,0.026569366455078125,3235.447956143333,MITM_0,0.0,True
Diffie-Hellman,8000,1,3.7307197999907658,3.65625,0.0328826904296875,2144.358308554773,MITM_25,0.25,False
Diffie-Hellman,8000,2,3.2480569999897853,3.203125,0.03102874755859375,2463.0109631774194,MITM_25,0.25,False
Diffie-Hellman,8000,3,2.257270499947481,2.25,0.023662567138671875,3544.1033762617876,MITM_25,0.25,True
Diffie-Hellman,8000,4,2.167963800020516,2.109375,0.02838134765625,3690.098515447672,MITM_25,0.25,True
Diffie-Hellman,8000,5,3.071835800074041,3.0,0.031642913818359375,2604.305868108958,MITM_25,0.25,False
Diffie-Hellman,8000,6,2.2447989999782294,2.234375,0.027500152587890625,3563.793462166361,MITM_25,0.25,True
Diffie-Hellman,8000,7,2.1633860000874847,2.140625,0.025173187255859375,3697.9068921017747,MITM_25,0.25,True
Diffie-Hellman,8000,8,2.202852900023572,2.1875,0.02704620361328125,3631.6542061952455,MITM_25,0.25,True
Diffie-Hellman,8000,9,2.2835900000063702,2.265625,0.02618408203125,3503.2558383850355,MITM_25,0.25,True
Diffie-Hellman,8000,10,2.3531685000052676,2.296875,0.021701812744140625,3399.6715492248395,MITM_25,0.25,True
Diffie-Hellman,8000,1,3.295493399957195,3.28125,0.02996063232421875,2427.5575851870653,MITM_50,0.5,False
Diffie-Hellman,8000,2,2.1883920999243855,2.15625,0.02513885498046875,3655.6520197072637,MITM_50,0.5,True
Diffie-Hellman,8000,3,2.1783645999385044,2.09375,0.026462554931640625,3672.4798044486406,MITM_50,0.5,True
Diffie-Hellman,8000,4,2.1598288000095636,2.125,0.023345947265625,3703.9972797679966,MITM_50,0.5,True
Diffie-Hellman,8000,5,3.2816387000493705,3.203125,0.03113555908203125,2437.8064531843934,MITM_50,0.5,False
Diffie-Hellman,8000,6,2.2585656999144703,2.21875,0.02677154541015625,3542.0709702192644,MITM_50,0.5,True
Diffie-Hellman,8000,7,3.538907599984668,3.484375,0.030429840087890625,2260.584593967545,MITM_50,0.5,False
Diffie-Hellman,8000,8,3.2913162999320775,3.21875,0.030384063720703125,2430.6384652745455,MITM_50,0.5,False
Diffie-Hellman,8000,9,3.324301699991338,3.25,0.0314483642578125,2406.520443081579,MITM_50,0.5,False
Diffie-Hellman,8000,10,2.211603800067678,2.171875,0.027374267578125,3617.284433927627,MITM_50,0.5,True
Diffie-Hellman,8000,1,3.325330000021495,3.265625,0.0294952392578125,2405.7762688058892,MITM_100,1.0,False
Diffie-Hellman,8000,2,3.2871235000202432,3.21875,0.030529022216796875,2433.738799272596,MITM_100,1.0,False
Diffie-Hellman,8000,3,3.286395499948412,3.234375,0.028682708740234375,2434.2779194182745,MITM_100,1.0,False
Diffie-Hellman,8000,4,3.2659791000187397,3.15625,0.02909088134765625,2449.4951605642846,MITM_100,1.0,False
Diffie-Hellman,8000,5,3.4477884999942034,3.359375,0.030139923095703125,2320.3279435538025,MITM_100,1.0,False
Diffie-Hellman,8000,6,3.5042833000188693,3.40625,0.02744293212890625,2282.920447658134,MITM_100,1.0,False
Diffie-Hellman,8000,7,3.5795281000901014,3.5625,0.031101226806640625,2234.931470379749,MITM_100,1.0,False
Diffie-Hellman,8000,8,3.2478063000598922,3.1875,0.02972412109375,2463.20108432959,MITM_100,1.0,False
Diffie-Hellman,8000,9,3.411505400086753,3.390625,0.027587890625,2345.005814675411,MITM_100,1.0,False
Diffie-Hellman,8000,10,3.4426399000221863,3.390625,0.0316314697265625,2323.798082961986,MITM_100,1.0,False
